"Code","CodeType","NewCode","Deficit"
"205.20","ICD9","20520","Cancer"
"201.46","ICD9","20146","Cancer"
"202.22","ICD9","20222","Cancer"
"202.06","ICD9","20206","Cancer"
"201.90","ICD9","20190","Cancer"
"202.70","ICD9","20270","Cancer"
"205.82","ICD9","20582","Cancer"
"200.02","ICD9","20002","Cancer"
"202.45","ICD9","20245","Cancer"
"201.05","ICD9","20105","Cancer"
"200.26","ICD9","20026","Cancer"
"201.54","ICD9","20154","Cancer"
"200.16","ICD9","20016","Cancer"
"201.13","ICD9","20113","Cancer"
"201.53","ICD9","20153","Cancer"
"200.48","ICD9","20048","Cancer"
"207.10","ICD9","20710","Cancer"
"202.83","ICD9","20283","Cancer"
"208.20","ICD9","20820","Cancer"
"202.42","ICD9","20242","Cancer"
"201.04","ICD9","20104","Cancer"
"204.9","ICD9","2049","Cancer"
"200.23","ICD9","20023","Cancer"
"202.71","ICD9","20271","Cancer"
"204.21","ICD9","20421","Cancer"
"200.76","ICD9","20076","Cancer"
"207.20","ICD9","20720","Cancer"
"201.71","ICD9","20171","Cancer"
"205.92","ICD9","20592","Cancer"
"201.62","ICD9","20162","Cancer"
"201.93","ICD9","20193","Cancer"
"202.47","ICD9","20247","Cancer"
"200.47","ICD9","20047","Cancer"
"209.34","ICD9","20934","Cancer"
"208.80","ICD9","20880","Cancer"
"201.44","ICD9","20144","Cancer"
"200.12","ICD9","20012","Cancer"
"208.21","ICD9","20821","Cancer"
"202.86","ICD9","20286","Cancer"
"209.63","ICD9","20963","Cancer"
"206.1","ICD9","2061","Cancer"
"204.22","ICD9","20422","Cancer"
"202.26","ICD9","20226","Cancer"
"201.72","ICD9","20172","Cancer"
"204.90","ICD9","20490","Cancer"
"200.86","ICD9","20086","Cancer"
"203.00","ICD9","20300","Cancer"
"200.74","ICD9","20074","Cancer"
"205.21","ICD9","20521","Cancer"
"200.01","ICD9","20001","Cancer"
"200.56","ICD9","20056","Cancer"
